#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.03146  0.054835  0.005120 -0.000200    10.710
   0.00630  0.99392  0.00292  1.03734  0.053981  0.004755 -0.000215    11.352
   0.01727  0.98333  0.00577  1.04852  0.052419  0.004090 -0.000242    12.818
   0.03004  0.97098  0.00904  1.06369  0.050545  0.003242 -0.000249    15.592
   0.04430  0.95718  0.01262  1.07996  0.048483  0.002403 -0.000426    20.177
   0.05958  0.94237  0.01638  1.08004  0.046848  0.002402 -0.000427    19.503
   0.07546  0.92696  0.02021  1.08009  0.045051  0.002402 -0.000427    18.752
   0.09164  0.91123  0.02403  1.08014  0.043160  0.002403 -0.000428    17.958
   0.10799  0.89533  0.02780  1.08018  0.041222  0.002404 -0.000429    17.145
   0.12441  0.87933  0.03149  1.08024  0.039260  0.002405 -0.000430    16.323
   0.14087  0.86327  0.03511  1.08030  0.037296  0.002406 -0.000431    15.503
   0.15734  0.84718  0.03864  1.08038  0.035341  0.002406 -0.000433    14.691
   0.17383  0.83106  0.04208  1.08049  0.033404  0.002405 -0.000434    13.890
   0.19032  0.81492  0.04544  1.08063  0.031493  0.002403 -0.000437    13.105
   0.20680  0.79875  0.04870  1.08081  0.029616  0.002400 -0.000440    12.339
   0.22329  0.78258  0.05188  1.08105  0.027776  0.002396 -0.000443    11.593
   0.23978  0.76638  0.05496  1.08135  0.025981  0.002390 -0.000447    10.870
   0.25626  0.75017  0.05796  1.08174  0.024235  0.002383 -0.000453    10.172
   0.27274  0.73395  0.06086  1.08224  0.022544  0.002373 -0.000459     9.500
   0.28921  0.71772  0.06368  1.08286  0.020911  0.002361 -0.000467     8.857
   0.30568  0.70148  0.06640  1.08364  0.019341  0.002346 -0.000477     8.243
   0.32214  0.68523  0.06902  1.08461  0.017839  0.002329 -0.000489     7.659
   0.33859  0.66898  0.07155  1.08580  0.016411  0.002309 -0.000504     7.109
   0.35503  0.65272  0.07398  1.08727  0.015057  0.002285 -0.000523     6.591
   0.37146  0.63645  0.07632  1.08907  0.013785  0.002257 -0.000546     6.108
   0.38788  0.62019  0.07855  1.09126  0.012597  0.002225 -0.000570     5.661
   0.40429  0.60392  0.08069  1.09391  0.011496  0.002189 -0.000581     5.251
   0.42068  0.58766  0.08272  1.09707  0.010483  0.002149 -0.000570     4.878
   0.43705  0.57140  0.08465  1.10079  0.009563  0.002104 -0.000510     4.544
   0.45341  0.55514  0.08647  1.10507  0.008729  0.002056 -0.000382     4.246
   0.46975  0.53889  0.08818  1.10982  0.007984  0.002005 -0.000176     3.983
   0.48606  0.52265  0.08978  1.11512  0.007320  0.001950  0.000107     3.755
   0.50236  0.50642  0.09127  1.12097  0.006736  0.001891  0.000454     3.562
   0.51863  0.49021  0.09264  1.12728  0.006222  0.001830  0.000851     3.401
   0.53487  0.47402  0.09390  1.13392  0.005771  0.001767  0.001281     3.267
   0.55108  0.45785  0.09503  1.14077  0.005368  0.001703  0.001747     3.152
   0.56725  0.44172  0.09603  1.14769  0.005005  0.001639  0.002245     3.054
   0.58335  0.42564  0.09690  1.15461  0.004672  0.001575  0.002790     2.966
   0.59935  0.40965  0.09765  1.16145  0.004356  0.001512  0.003410     2.881
   0.61519  0.39382  0.09824  1.16825  0.004041  0.001448  0.004184     2.791
   0.63085  0.37817  0.09865  1.17409  0.003775  0.001388  0.004936     2.719
   0.64639  0.36263  0.09885  1.17880  0.003552  0.001333  0.005636     2.664
   0.66187  0.34716  0.09884  1.18244  0.003356  0.001281  0.006306     2.620
   0.67728  0.33174  0.09863  1.18497  0.003184  0.001233  0.006946     2.583
   0.69264  0.31639  0.09821  1.18640  0.003028  0.001186  0.007564     2.553
   0.70795  0.30109  0.09757  1.18671  0.002887  0.001142  0.008163     2.527
   0.72321  0.28586  0.09672  1.18591  0.002755  0.001100  0.008749     2.506
   0.73841  0.27069  0.09564  1.18397  0.002633  0.001059  0.009330     2.487
   0.75355  0.25561  0.09433  1.18082  0.002518  0.001019  0.009897     2.470
   0.76863  0.24061  0.09280  1.17650  0.002407  0.000980  0.010477     2.455
   0.78363  0.22571  0.09103  1.17084  0.002301  0.000942  0.011050     2.443
   0.79855  0.21092  0.08902  1.16381  0.002200  0.000905  0.011627     2.431
   0.81339  0.19626  0.08678  1.15532  0.002101  0.000868  0.012217     2.421
   0.82811  0.18175  0.08429  1.14523  0.002004  0.000831  0.012813     2.411
   0.84271  0.16741  0.08155  1.13345  0.001908  0.000794  0.013450     2.402
   0.85717  0.15327  0.07856  1.11965  0.001814  0.000758  0.014074     2.394
   0.87144  0.13937  0.07533  1.10379  0.001721  0.000721  0.014739     2.387
   0.88548  0.12576  0.07185  1.08556  0.001627  0.000684  0.015447     2.379
   0.89921  0.11254  0.06815  1.06462  0.001534  0.000647  0.016175     2.373
   0.91255  0.09978  0.06426  1.04077  0.001441  0.000609  0.016950     2.366
   0.92536  0.08762  0.06020  1.01372  0.001349  0.000571  0.017738     2.360
   0.93750  0.07622  0.05606  0.98340  0.001256  0.000534  0.018606     2.352
   0.94879  0.06572  0.05190  0.94955  0.001167  0.000498  0.019465     2.346
   0.95911  0.05625  0.04782  0.91242  0.001081  0.000462  0.020336     2.339
   0.96837  0.04786  0.04389  0.87213  0.000999  0.000429  0.021180     2.331
   0.97657  0.04055  0.04017  0.82889  0.000923  0.000397  0.021942     2.324
   0.98379  0.03423  0.03668  0.78272  0.000852  0.000368  0.022655     2.315
   0.99012  0.02879  0.03343  0.73347  0.000787  0.000341  0.023103     2.308
   0.99570  0.02411  0.03040  0.68105  0.000726  0.000316  0.023490     2.298
   1.00063  0.02008  0.02756  0.62484  0.000672  0.000293  0.023376     2.294
   1.00502  0.01660  0.02489  0.56410  0.000617  0.000271  0.023329     2.278
   1.00896  0.01357  0.02236  0.49764  0.000573  0.000251  0.022149     2.279
   1.01253  0.01095  0.01995  0.42531  0.000525  0.000232  0.021019     2.260
   1.01577  0.00867  0.01764  0.34508  0.000487  0.000215  0.018321     2.263
   1.01874  0.00671  0.01541  0.25583  0.000446  0.000199  0.015174     2.237
   1.02149  0.00502  0.01324  0.15699  0.000417  0.000186  0.009853     2.249
   1.02404  0.00360  0.01113  0.04465  0.000366  0.000164  0.003248     2.230
   1.02642  0.00242  0.00906 -0.08001  0.000366  0.000164  0.005823     2.230
   1.02866  0.00148  0.00703 -0.21615  0.000328  0.000148  0.017858     2.212
   1.03077  0.00077  0.00504 -0.36677  0.000311  0.000140  0.031522     2.225
   1.03277  0.00029  0.00309 -0.52514  0.000296  0.000134  0.047945     2.213
   1.03468  0.00004  0.00120 -0.68972  0.000287  0.000129  0.064712     2.219
   1.03651  0.00001 -0.00064 -0.85166  0.000283  0.000127  0.080511     2.225
   1.03838  0.00020 -0.00249 -1.01612  0.000283  0.000127  0.095808     2.229
   1.04030  0.00065 -0.00436 -1.17391  0.000291  0.000130  0.105516     2.249
   1.04230  0.00137 -0.00623 -1.30977  0.000311  0.000137  0.107229     2.279
   1.04439  0.00239 -0.00805 -1.41646  0.000342  0.000148  0.102364     2.313
   1.04657  0.00369 -0.00980 -1.49028  0.000386  0.000163  0.090846     2.363
   1.04888  0.00527 -0.01148 -1.53535  0.000442  0.000183  0.077626     2.414
   1.05132  0.00712 -0.01307 -1.55820  0.000511  0.000207  0.064224     2.473
   1.05393  0.00925 -0.01459 -1.56401  0.000594  0.000234  0.051366     2.543
   1.05675  0.01167 -0.01603 -1.55877  0.000690  0.000264  0.040746     2.613
   1.05979  0.01438 -0.01741 -1.54574  0.000803  0.000298  0.031485     2.696
   1.06312  0.01744 -0.01873 -1.52744  0.000934  0.000335  0.023701     2.790
   1.06679  0.02087 -0.02000 -1.50577  0.001089  0.000376  0.017270     2.898
   1.07086  0.02476 -0.02123 -1.48193  0.001273  0.000420  0.011894     3.028
   1.07542  0.02916 -0.02242 -1.45690  0.001497  0.000469  0.007419     3.191
   1.08058  0.03419 -0.02357 -1.43163  0.001775  0.000522  0.003774     3.402
   1.08647  0.03998 -0.02467 -1.40713  0.002123  0.000578  0.000987     3.676
   1.09325  0.04667 -0.02572 -1.38435  0.002567  0.000635 -0.000909     4.039
   1.10108  0.05445 -0.02670 -1.36384  0.003132  0.000695 -0.001870     4.508
   1.11013  0.06345 -0.02758 -1.34624  0.003842  0.000754 -0.002061     5.098
   1.12048  0.07377 -0.02833 -1.33190  0.004710  0.000810 -0.001894     5.813
   1.13215  0.08543 -0.02891 -1.32052  0.005729  0.000863 -0.001676     6.635
   1.14504  0.09832 -0.02929 -1.31155  0.006871  0.000913 -0.001516     7.530
   1.15896  0.11223 -0.02947 -1.30439  0.008084  0.000958 -0.001399     8.441
   1.17368  0.12696 -0.02945 -1.29856  0.009311  0.000999 -0.001312     9.316
   1.18901  0.14228 -0.02924 -1.29364  0.010493  0.001039 -0.001243    10.100
   1.20480  0.15806 -0.02887 -1.28934  0.011582  0.001077 -0.001186    10.754
   1.22092  0.17418 -0.02837 -1.28543  0.012528  0.001115 -0.001136    11.240
   1.23731  0.19056 -0.02776 -1.28172  0.013285  0.001153 -0.001093    11.524
   1.25391  0.20714 -0.02707 -1.27807  0.013802  0.001193 -0.001053    11.572
   1.27067  0.22389 -0.02630 -1.27432  0.014008  0.001235 -0.001015    11.338
   1.28758  0.24078 -0.02549 -1.27009  0.013789  0.001285 -0.000355    10.732
   1.30460  0.25777 -0.02465 -1.20494  0.013316  0.002216 -0.000310     6.009
   1.32169  0.27484 -0.02379 -1.14922  0.012483  0.003089 -0.000079     4.042
   1.33881  0.29194 -0.02292 -1.10905  0.011530  0.003766  0.000928     3.062
   1.35590  0.30901 -0.02207 -1.08346  0.010636  0.004222  0.002041     2.519
   1.37294  0.32603 -0.02124 -1.06761  0.009881  0.004521  0.002996     2.186
   1.38994  0.34301 -0.02043 -1.05793  0.009283  0.004718  0.003773     1.968
   1.40689  0.35994 -0.01967 -1.05202  0.008825  0.004853  0.004396     1.818
   1.42382  0.37686 -0.01894 -1.04847  0.008474  0.004951  0.004897     1.711
   1.44075  0.39378 -0.01827 -1.04657  0.008196  0.005024  0.005309     1.631
   1.45775  0.41076 -0.01762 -1.04597  0.007966  0.005077  0.005660     1.569
   1.47481  0.42781 -0.01697 -1.04491  0.007830  0.005140  0.005900     1.523
   1.49192  0.44491 -0.01629 -1.04352  0.007757  0.005211  0.006059     1.488
   1.50907  0.46204 -0.01560 -1.04178  0.007732  0.005290  0.006153     1.462
   1.52625  0.47921 -0.01490 -1.03981  0.007743  0.005374  0.006293     1.441
   1.54344  0.49639 -0.01420 -1.03771  0.007781  0.005462  0.006400     1.424
   1.56064  0.51357 -0.01350 -1.03551  0.007841  0.005554  0.006470     1.412
   1.57783  0.53074 -0.01280 -1.03329  0.007916  0.005647  0.006512     1.402
   1.59499  0.54790 -0.01211 -1.03108  0.008003  0.005741  0.006532     1.394
   1.61214  0.56503 -0.01143 -1.02885  0.008101  0.005836  0.006533     1.388
   1.62928  0.58215 -0.01076 -1.02669  0.008204  0.005931  0.006523     1.383
   1.64639  0.59926 -0.01011 -1.02459  0.008312  0.006026  0.006503     1.379
   1.66350  0.61635 -0.00947 -1.02256  0.008423  0.006119  0.006476     1.377
   1.68058  0.63342 -0.00885 -1.02064  0.008536  0.006211  0.006445     1.374
   1.69766  0.65049 -0.00825 -1.01882  0.008649  0.006302  0.006410     1.373
   1.71473  0.66755 -0.00768 -1.01712  0.008762  0.006390  0.006374     1.371
   1.73178  0.68459 -0.00712 -1.01554  0.008874  0.006476  0.006343     1.370
   1.74883  0.70164 -0.00659 -1.01412  0.008982  0.006559  0.006303     1.369
   1.76588  0.71867 -0.00608 -1.01273  0.009088  0.006642  0.006271     1.368
   1.78292  0.73570 -0.00560 -1.01149  0.009190  0.006722  0.006242     1.367
   1.79995  0.75273 -0.00514 -1.01041  0.009288  0.006798  0.006215     1.366
   1.81698  0.76976 -0.00471 -1.00947  0.009383  0.006871  0.006190     1.366
   1.83401  0.78678 -0.00431 -1.00871  0.009472  0.006940  0.006168     1.365
   1.85104  0.80381 -0.00393 -1.00813  0.009556  0.007005  0.006149     1.364
   1.86807  0.82084 -0.00357 -1.00772  0.009634  0.007066  0.006133     1.363
   1.88510  0.83786 -0.00324 -1.00749  0.009707  0.007123  0.006120     1.363
   1.90213  0.85489 -0.00294 -1.00755  0.009768  0.007173  0.006114     1.362
   1.91914  0.87190 -0.00266 -1.00776  0.009825  0.007219  0.006111     1.361
