NACA 4412                                       
 Alfa =   5.85000 Re =    60000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.00875
   0.99392  0.00292  0.00441
   0.98333  0.00577 -0.00347
   0.97098  0.00904 -0.01318
   0.95718  0.01262 -0.02472
   0.94237  0.01638 -0.03795
   0.92696  0.02021 -0.05267
   0.91123  0.02403 -0.06876
   0.89533  0.02780 -0.08618
   0.87933  0.03149 -0.10496
   0.86327  0.03511 -0.12518
   0.84718  0.03864 -0.14700
   0.83106  0.04208 -0.17064
   0.81492  0.04544 -0.19639
   0.79875  0.04870 -0.22465
   0.78258  0.05188 -0.25621
   0.76638  0.05496 -0.29250
   0.75017  0.05796 -0.33290
   0.73395  0.06086 -0.37712
   0.71772  0.06368 -0.42549
   0.70148  0.06640 -0.47888
   0.68523  0.06902 -0.53910
   0.66898  0.07155 -0.60868
   0.65272  0.07398 -0.69153
   0.63645  0.07632 -0.79979
   0.62019  0.07855 -0.80095
   0.60392  0.08069 -0.80274
   0.58766  0.08272 -0.80440
   0.57140  0.08465 -0.80597
   0.55514  0.08647 -0.80752
   0.53889  0.08818 -0.80907
   0.52265  0.08978 -0.81069
   0.50642  0.09127 -0.81241
   0.49021  0.09264 -0.81429
   0.47402  0.09390 -0.81642
   0.45785  0.09503 -0.81888
   0.44172  0.09603 -0.82179
   0.42564  0.09690 -0.82532
   0.40965  0.09765 -0.82967
   0.39382  0.09824 -0.83510
   0.37817  0.09865 -0.84211
   0.36263  0.09885 -0.85118
   0.34716  0.09884 -0.86281
   0.33174  0.09863 -0.87746
   0.31639  0.09821 -0.89535
   0.30109  0.09757 -0.91611
   0.28586  0.09672 -0.94021
   0.27069  0.09564 -0.96738
   0.25561  0.09433 -0.99645
   0.24061  0.09280 -1.02614
   0.22571  0.09103 -1.05522
   0.21092  0.08902 -1.08295
   0.19626  0.08678 -1.10901
   0.18175  0.08429 -1.13298
   0.16741  0.08155 -1.15513
   0.15327  0.07856 -1.17523
   0.13937  0.07533 -1.19378
   0.12576  0.07185 -1.21061
   0.11254  0.06815 -1.22620
   0.09978  0.06426 -1.24076
   0.08762  0.06020 -1.25428
   0.07622  0.05606 -1.26725
   0.06572  0.05190 -1.27943
   0.05625  0.04782 -1.29108
   0.04786  0.04389 -1.30191
   0.04055  0.04017 -1.31122
   0.03423  0.03668 -1.31916
   0.02879  0.03343 -1.32471
   0.02411  0.03040 -1.32792
   0.02008  0.02756 -1.32624
   0.01660  0.02489 -1.32009
   0.01357  0.02236 -1.30719
   0.01095  0.01995 -1.28551
   0.00867  0.01764 -1.25208
   0.00671  0.01541 -1.20492
   0.00502  0.01324 -1.13800
   0.00360  0.01113 -1.04750
   0.00242  0.00906 -0.92860
   0.00148  0.00703 -0.77521
   0.00077  0.00504 -0.58520
   0.00029  0.00309 -0.36241
   0.00004  0.00120 -0.11799
   0.00001 -0.00064  0.13149
   0.00020 -0.00249  0.38158
   0.00065 -0.00436  0.61367
   0.00137 -0.00623  0.80206
   0.00239 -0.00805  0.92956
   0.00369 -0.00980  0.98959
   0.00527 -0.01148  0.99781
   0.00712 -0.01307  0.96860
   0.00925 -0.01459  0.91872
   0.01167 -0.01603  0.85712
   0.01438 -0.01741  0.79240
   0.01744 -0.01873  0.72751
   0.02087 -0.02000  0.66531
   0.02476 -0.02123  0.60654
   0.02916 -0.02242  0.55162
   0.03419 -0.02357  0.50140
   0.03998 -0.02467  0.45479
   0.04667 -0.02572  0.41259
   0.05445 -0.02670  0.37457
   0.06345 -0.02758  0.34113
   0.07377 -0.02833  0.31222
   0.08543 -0.02891  0.28804
   0.09832 -0.02929  0.26852
   0.11223 -0.02947  0.25312
   0.12696 -0.02945  0.24142
   0.14228 -0.02924  0.23277
   0.15806 -0.02887  0.22630
   0.17418 -0.02837  0.22178
   0.19056 -0.02776  0.21851
   0.20714 -0.02707  0.21620
   0.22389 -0.02630  0.21466
   0.24078 -0.02549  0.21354
   0.25777 -0.02465  0.21272
   0.27484 -0.02379  0.21201
   0.29194 -0.02292  0.21120
   0.30901 -0.02207  0.21033
   0.32603 -0.02124  0.20917
   0.34301 -0.02043  0.20758
   0.35994 -0.01967  0.20545
   0.37686 -0.01894  0.20261
   0.39378 -0.01827  0.19870
   0.41076 -0.01762  0.19344
   0.42781 -0.01697  0.18884
   0.44491 -0.01629  0.18479
   0.46204 -0.01560  0.18129
   0.47921 -0.01490  0.17817
   0.49639 -0.01420  0.17540
   0.51357 -0.01350  0.17300
   0.53074 -0.01280  0.17075
   0.54790 -0.01211  0.16861
   0.56503 -0.01143  0.16657
   0.58215 -0.01076  0.16462
   0.59926 -0.01011  0.16261
   0.61635 -0.00947  0.16063
   0.63342 -0.00885  0.15848
   0.65049 -0.00825  0.15631
   0.66755 -0.00768  0.15397
   0.68459 -0.00712  0.15148
   0.70164 -0.00659  0.14887
   0.71867 -0.00608  0.14599
   0.73570 -0.00560  0.14295
   0.75273 -0.00514  0.13963
   0.76976 -0.00471  0.13610
   0.78678 -0.00431  0.13222
   0.80381 -0.00393  0.12808
   0.82084 -0.00357  0.12352
   0.83786 -0.00324  0.11860
   0.85489 -0.00294  0.11312
   0.87190 -0.00266  0.10719
   0.88889 -0.00241  0.10066
   0.90581 -0.00218  0.09331
   0.92258 -0.00197  0.08511
   0.93902 -0.00179  0.07589
   0.95483 -0.00163  0.06543
   0.96953 -0.00150  0.05385
   0.98258 -0.00139  0.04071
   0.99368 -0.00131  0.02669
   1.00000 -0.00126  0.00875
