NACA 4412                                       
 Alfa =   6.15000 Re =    60000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.00893
   0.99392  0.00292 -0.01269
   0.98333  0.00577 -0.01951
   0.97098  0.00904 -0.02800
   0.95718  0.01262 -0.03830
   0.94237  0.01638 -0.05033
   0.92696  0.02021 -0.06381
   0.91123  0.02403 -0.07860
   0.89533  0.02780 -0.09468
   0.87933  0.03149 -0.11207
   0.86327  0.03511 -0.13085
   0.84718  0.03864 -0.15114
   0.83106  0.04208 -0.17312
   0.81492  0.04544 -0.19702
   0.79875  0.04870 -0.22341
   0.78258  0.05188 -0.25298
   0.76638  0.05496 -0.28585
   0.75017  0.05796 -0.32197
   0.73395  0.06086 -0.36141
   0.71772  0.06368 -0.40447
   0.70148  0.06640 -0.45175
   0.68523  0.06902 -0.50417
   0.66898  0.07155 -0.56368
   0.65272  0.07398 -0.63250
   0.63645  0.07632 -0.71483
   0.62019  0.07855 -0.81296
   0.60392  0.08069 -0.81485
   0.58766  0.08272 -0.81651
   0.57140  0.08465 -0.81805
   0.55514  0.08647 -0.81952
   0.53889  0.08818 -0.82096
   0.52265  0.08978 -0.82242
   0.50642  0.09127 -0.82395
   0.49021  0.09264 -0.82559
   0.47402  0.09390 -0.82741
   0.45785  0.09503 -0.82949
   0.44172  0.09603 -0.83193
   0.42564  0.09690 -0.83487
   0.40965  0.09765 -0.83849
   0.39382  0.09824 -0.84301
   0.37817  0.09865 -0.84887
   0.36263  0.09885 -0.85651
   0.34716  0.09884 -0.86641
   0.33174  0.09863 -0.87912
   0.31639  0.09821 -0.89506
   0.30109  0.09757 -0.91428
   0.28586  0.09672 -0.93657
   0.27069  0.09564 -0.96236
   0.25561  0.09433 -0.99101
   0.24061  0.09280 -1.02125
   0.22571  0.09103 -1.05169
   0.21092  0.08902 -1.08129
   0.19626  0.08678 -1.10944
   0.18175  0.08429 -1.13574
   0.16741  0.08155 -1.16018
   0.15327  0.07856 -1.18273
   0.13937  0.07533 -1.20366
   0.12576  0.07185 -1.22302
   0.11254  0.06815 -1.24102
   0.09978  0.06426 -1.25828
   0.08762  0.06020 -1.27462
   0.07622  0.05606 -1.29036
   0.06572  0.05190 -1.30573
   0.05625  0.04782 -1.32055
   0.04786  0.04389 -1.33462
   0.04055  0.04017 -1.34753
   0.03423  0.03668 -1.35884
   0.02879  0.03343 -1.36827
   0.02411  0.03040 -1.37495
   0.02008  0.02756 -1.37737
   0.01660  0.02489 -1.37502
   0.01357  0.02236 -1.36564
   0.01095  0.01995 -1.34803
   0.00867  0.01764 -1.31897
   0.00671  0.01541 -1.27585
   0.00502  0.01324 -1.21306
   0.00360  0.01113 -1.12664
   0.00242  0.00906 -1.00952
   0.00148  0.00703 -0.85786
   0.00077  0.00504 -0.66882
   0.00029  0.00309 -0.44334
   0.00004  0.00120 -0.19323
   0.00001 -0.00064  0.06174
   0.00020 -0.00249  0.32184
   0.00065 -0.00436  0.56751
   0.00137 -0.00623  0.76788
   0.00239 -0.00805  0.90910
   0.00369 -0.00980  0.98166
   0.00527 -0.01148  0.99974
   0.00712 -0.01307  0.97831
   0.00925 -0.01459  0.93357
   0.01167 -0.01603  0.87571
   0.01438 -0.01741  0.81325
   0.01744 -0.01873  0.74998
   0.02087 -0.02000  0.68840
   0.02476 -0.02123  0.62961
   0.02916 -0.02242  0.57467
   0.03419 -0.02357  0.52383
   0.03998 -0.02467  0.47651
   0.04667 -0.02572  0.43336
   0.05445 -0.02670  0.39439
   0.06345 -0.02758  0.35975
   0.07377 -0.02833  0.32959
   0.08543 -0.02891  0.30413
   0.09832 -0.02929  0.28347
   0.11223 -0.02947  0.26697
   0.12696 -0.02945  0.25428
   0.14228 -0.02924  0.24472
   0.15806 -0.02887  0.23730
   0.17418 -0.02837  0.23204
   0.19056 -0.02776  0.22805
   0.20714 -0.02707  0.22511
   0.22389 -0.02630  0.22297
   0.24078 -0.02549  0.22130
   0.25777 -0.02465  0.21993
   0.27484 -0.02379  0.21880
   0.29194 -0.02292  0.21752
   0.30901 -0.02207  0.21624
   0.32603 -0.02124  0.21469
   0.34301 -0.02043  0.21273
   0.35994 -0.01967  0.21026
   0.37686 -0.01894  0.20707
   0.39378 -0.01827  0.20281
   0.41076 -0.01762  0.19721
   0.42781 -0.01697  0.19229
   0.44491 -0.01629  0.18792
   0.46204 -0.01560  0.18410
   0.47921 -0.01490  0.18071
   0.49639 -0.01420  0.17765
   0.51357 -0.01350  0.17496
   0.53074 -0.01280  0.17242
   0.54790 -0.01211  0.17000
   0.56503 -0.01143  0.16769
   0.58215 -0.01076  0.16546
   0.59926 -0.01011  0.16316
   0.61635 -0.00947  0.16089
   0.63342 -0.00885  0.15846
   0.65049 -0.00825  0.15597
   0.66755 -0.00768  0.15334
   0.68459 -0.00712  0.15053
   0.70164 -0.00659  0.14760
   0.71867 -0.00608  0.14438
   0.73570 -0.00560  0.14098
   0.75273 -0.00514  0.13729
   0.76976 -0.00471  0.13338
   0.78678 -0.00431  0.12910
   0.80381 -0.00393  0.12452
   0.82084 -0.00357  0.11948
   0.83786 -0.00324  0.11407
   0.85489 -0.00294  0.10803
   0.87190 -0.00266  0.10150
   0.88889 -0.00241  0.09429
   0.90581 -0.00218  0.08616
   0.92258 -0.00197  0.07708
   0.93902 -0.00179  0.06683
   0.95483 -0.00163  0.05516
   0.96953 -0.00150  0.04217
   0.98258 -0.00139  0.02734
   0.99368 -0.00131  0.01137
   1.00000 -0.00126 -0.00893
